Freq (hertz)	Ze (ohms)	ZePhase (deg)
  187.63	    6.27	   -5.24
  190.33	    6.27	   -3.73
  193.07	    6.28	   -1.96
  195.85	    6.32	    0.23
  198.67	    6.43	    3.04
  201.53	    6.72	    6.73
  204.44	    7.52	   10.65
  207.38	    9.45	    7.25
  210.37	    9.65	   -9.97
  213.40	    8.04	  -15.18
  216.47	    7.22	  -13.70
  219.59	    6.84	  -11.48
  222.75	    6.63	   -9.50
  225.96	    6.51	   -7.81
  229.22	    6.43	   -6.34
  232.52	    6.38	   -5.03
  235.87	    6.34	   -3.83
  239.27	    6.32	   -2.72
  242.71	    6.30	   -1.66
  246.21	    6.28	   -0.65
  249.76	    6.27	    0.35
  253.35	    6.27	    1.33
  257.00	    6.27	    2.32
  260.70	    6.27	    3.33
  264.46	    6.28	    4.39
  268.27	    6.31	    5.52
  272.13	    6.35	    6.77
  276.05	    6.42	    8.22
  280.03	    6.57	    9.90
  284.06	    6.92	   11.43
  288.16	    7.63	    9.21
  292.31	    7.44	    1.39
  296.52	    6.75	    0.99
  300.79	    6.47	    3.00
  305.12	    6.37	    4.77
  309.52	    6.33	    6.21
  313.97	    6.31	    7.41
  318.50	    6.31	    8.46
  323.08	    6.31	    9.41
  327.74	    6.31	   10.29
  332.46	    6.32	   11.12
  337.25	    6.33	   11.92
  342.11	    6.35	   12.68
  347.03	    6.36	   13.43
  352.03	    6.38	   14.16
  357.10	    6.39	   14.87
  362.25	    6.41	   15.59
  367.47	    6.43	   16.32
  372.76	    6.45	   17.02
  378.13	    6.48	   17.68
  383.58	    6.50	   18.34
  389.10	    6.52	   19.01
  394.71	    6.55	   19.68
  400.39	    6.58	   20.35
  406.16	    6.60	   21.03
  412.01	    6.64	   21.72
  417.94	    6.67	   22.41
  423.96	    6.71	   23.13
  430.07	    6.75	   23.87
  436.27	    6.81	   24.63
  442.55	    6.90	   25.36
  448.93	    7.04	   25.71
  455.39	    7.14	   24.89
  461.95	    7.04	   24.51
  468.61	    6.97	   25.29
  475.36	    6.96	   26.20
  482.20	    6.98	   27.04
  489.15	    7.01	   27.82
  496.19	    7.05	   28.55
  503.34	    7.10	   29.25
  510.59	    7.15	   29.94
  517.95	    7.21	   30.58
  525.41	    7.29	   31.13
  532.98	    7.38	   31.29
  540.65	    7.38	   31.09
  548.44	    7.34	   31.70
  556.34	    7.35	   32.58
  564.36	    7.39	   33.38
  572.48	    7.44	   34.09
  580.73	    7.49	   34.76
  589.10	    7.54	   35.40
  597.58	    7.60	   36.02
  606.19	    7.65	   36.64
  614.92	    7.71	   37.26
  623.78	    7.78	   37.84
  632.76	    7.84	   38.40
  641.88	    7.90	   38.96
  651.13	    7.96	   39.54
  660.50	    8.03	   40.11
  670.02	    8.10	   40.68
  679.67	    8.18	   41.24
  689.46	    8.27	   41.76
  699.39	    8.36	   42.10
  709.47	    8.42	   42.27
  719.69	    8.45	   42.74
  730.05	    8.50	   43.37
  740.57	    8.57	   43.98
  751.24	    8.64	   44.55
  762.06	    8.72	   45.09
  773.03	    8.81	   45.57
  784.17	    8.89	   45.96
  795.47	    8.95	   46.40
  806.92	    9.01	   47.00
  818.55	    9.09	   47.59
  830.34	    9.18	   48.15
  842.30	    9.27	   48.68
  854.43	    9.36	   49.21
  866.74	    9.46	   49.72
  879.22	    9.56	   50.20
  891.89	    9.66	   50.67
  904.74	    9.76	   51.15
  917.77	    9.86	   51.63
  930.99	    9.97	   52.08
  944.40	   10.09	   52.49
  958.00	   10.19	   52.83
  971.80	   10.28	   53.23
  985.80	   10.37	   53.72
 1000.00	   10.48	   54.21
 1014.40	   10.60	   54.66
 1029.02	   10.71	   55.09
 1043.84	   10.82	   55.52
 1058.88	   10.93	   55.99
 1074.13	   11.05	   56.47
 1089.60	   11.18	   56.92
 1105.30	   11.31	   57.36
 1121.22	   11.44	   57.78
 1137.37	   11.58	   58.18
 1153.75	   11.71	   58.58
 1170.37	   11.85	   58.98
 1187.23	   11.99	   59.36
 1204.33	   12.13	   59.72
 1221.68	   12.27	   60.07
 1239.28	   12.40	   60.47
 1257.13	   12.55	   60.87
 1275.23	   12.69	   61.26
 1293.60	   12.84	   61.65
 1312.24	   13.00	   62.05
 1331.14	   13.16	   62.44
 1350.31	   13.32	   62.81
 1369.76	   13.49	   63.18
 1389.50	   13.66	   63.52
 1409.51	   13.83	   63.86
 1429.81	   14.00	   64.19
 1450.41	   14.17	   64.52
 1471.30	   14.35	   64.85
 1492.50	   14.52	   65.18
 1513.99	   14.70	   65.53
 1535.80	   14.88	   65.87
 1557.93	   15.07	   66.21
 1580.37	   15.27	   66.54
 1603.13	   15.47	   66.86
 1626.22	   15.67	   67.17
 1649.65	   15.87	   67.47
 1673.41	   16.08	   67.76
 1697.52	   16.28	   68.06
 1721.97	   16.49	   68.35
 1746.77	   16.70	   68.64
 1771.93	   16.92	   68.94
 1797.46	   17.14	   69.24
 1823.35	   17.37	   69.53
 1849.61	   17.60	   69.82
 1876.26	   17.84	   70.09
 1903.28	   18.07	   70.35
 1930.70	   18.31	   70.61
 1958.51	   18.55	   70.87
 1986.72	   18.80	   71.13
 2015.34	   19.05	   71.40
 2044.37	   19.30	   71.67
 2073.82	   19.56	   71.92
 2103.69	   19.83	   72.17
 2133.99	   20.10	   72.41
 2164.73	   20.37	   72.64
 2195.91	   20.64	   72.88
 2227.54	   20.92	   73.12
 2259.63	   21.20	   73.35
 2292.18	   21.49	   73.59
 2325.20	   21.78	   73.82
 2358.69	   22.08	   74.04
 2392.67	   22.38	   74.26
 2427.13	   22.69	   74.47
 2462.09	   23.00	   74.69
 2497.56	   23.31	   74.90
 2533.53	   23.63	   75.12
 2570.03	   23.96	   75.33
 2607.05	   24.29	   75.53
 2644.60	   24.62	   75.73
 2682.70	   24.96	   75.92
 2721.34	   25.30	   76.12
 2760.54	   25.65	   76.32
 2800.30	   26.01	   76.51
 2840.64	   26.37	   76.70
 2881.56	   26.74	   76.88
 2923.07	   27.11	   77.06
 2965.17	   27.48	   77.24
 3007.88	   27.86	   77.43
